Empresa,Receita Anual,Dívida Total,Prazo de Pagamento (dias),Setor,Rating,Notícias Recentes
Empresa 1,759601,359801,30,Alimentação,C-,Oportunidades de parcerias surgindo.
Empresa 2,191103,204574,63,Serviços,A+,Cuidado com flutuações nos preços!
Empresa 3,175318,446426,26,Serviços,B+,Oportunidades de parcerias surgindo.
Empresa 4,415966,559723,68,Indústria,C+,Expansão em novos mercados anunciada.
Empresa 5,261132,164263,108,Agronegócio,A,Oportunidades de parcerias surgindo.
Empresa 6,689202,623713,101,Indústria,C-,Setor afetado por mudanças climáticas.
Empresa 7,168068,128410,47,Transportes,B-,Aumento no custo das matérias-primas.
Empresa 8,504833,458074,117,Saúde,C,Concorrente lançou um novo produto.
Empresa 9,326866,432412,46,Alimentação,C-,Aumento no custo das matérias-primas.
Empresa 10,965810,553348,46,Educação,B+,Oportunidades de parcerias surgindo.
Empresa 11,647312,433103,17,Turismo,C,Cuidado com flutuações nos preços!
Empresa 12,759791,303943,56,Serviços,C,Oportunidades de parcerias surgindo.
Empresa 13,580864,427577,50,Serviços,A-,Insatisfação de clientes em redes sociais.
Empresa 14,524121,507226,105,Alimentação,D,Oportunidades de parcerias surgindo.
Empresa 15,574774,266560,50,Alimentação,A-,Cuidado com flutuações nos preços!
Empresa 16,216585,196888,103,Agronegócio,B,Cuidado com flutuações nos preços!
Empresa 17,606642,692751,101,Transportes,C-,Cuidado com flutuações nos preços!
Empresa 18,121178,438741,102,Educação,C,Setor afetado por mudanças climáticas.
Empresa 19,394688,266529,77,Comércio,B+,Insatisfação de clientes em redes sociais.
Empresa 20,396008,181846,119,Serviços,B-,Insatisfação de clientes em redes sociais.
Empresa 21,975563,323816,45,Saúde,A-,Insatisfação de clientes em redes sociais.
Empresa 22,626514,554990,98,Alimentação,C,Inconsistências financeiras apontadas em auditoria.
Empresa 23,144338,613187,63,Serviços,A-,Insatisfação de clientes em redes sociais.
Empresa 24,287340,124508,13,Tecnologia,C+,Cuidado com flutuações nos preços!
Empresa 25,436041,341543,36,Turismo,B,Concorrente lançou um novo produto.
Empresa 26,874118,236511,16,Serviços,A,Oportunidades de parcerias surgindo.
Empresa 27,925137,433166,34,Transportes,B+,Insatisfação de clientes em redes sociais.
Empresa 28,214157,650309,57,Turismo,B-,Mudanças na legislação para o setor.
Empresa 29,672834,119351,56,Tecnologia,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 30,225349,475680,54,Alimentação,D,Expansão em novos mercados anunciada.
Empresa 31,666913,109956,93,Transportes,B,Concorrente lançou um novo produto.
Empresa 32,794690,268082,36,Indústria,B,Concorrente lançou um novo produto.
Empresa 33,738214,129383,85,Serviços,C,Setor afetado por mudanças climáticas.
Empresa 34,693177,411005,36,Saúde,B-,Concorrente lançou um novo produto.
Empresa 35,316078,398413,26,Turismo,B-,Concorrente lançou um novo produto.
Empresa 36,803707,666586,119,Agronegócio,A,Inconsistências financeiras apontadas em auditoria.
Empresa 37,412785,117146,51,Transportes,A,Expansão em novos mercados anunciada.
Empresa 38,957804,121843,13,Educação,C-,Aumento no custo das matérias-primas.
Empresa 39,490055,605350,96,Educação,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 40,878650,500299,90,Alimentação,C+,Mudanças na legislação para o setor.
Empresa 41,950764,375197,116,Agronegócio,C+,Mudanças na legislação para o setor.
